PATH,URI,EVENT_TYPE
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/current-status,LAST_STATUS
http://localhost:8081,/daily-report,DAILY
http://localhost:8081,/daily-report,DAILY
